source,target,mor
HNF4A,hsa-miR-453-3p,1
HNF4A,hsa-miR-485-3p,1
HNF4A,hsa-miR-487a-3p,1
HNF4A,hsa-miR-487b-3p,1
HNF4A,hsa-miR-494-3p,1
HNF4A,hsa-miR-495-3p,1
HNF4A,hsa-miR-496-3p,1
HNF4A,hsa-miR-539-3p,1
HNF4A,hsa-miR-409-3p,1
KLF4,hsa-miR-150-3p,1
KLF4,hsa-miR-182-3p,1
MUC1,hsa-miR-200c-3p,-1
MXI1,hsa-miR-17-3p,-1
MXI1,hsa-miR-18a-3p,-1
MXI1,hsa-miR-19a-3p,-1
MXI1,hsa-miR-19b-1-3p,-1
MXI1,hsa-miR-20a-3p,-1
MXI1,hsa-miR-92a-1-3p,-1
MYB,hsa-miR-141-3p,1
MYB,hsa-miR-143-3p,1
MYB,hsa-miR-148a-3p,-1
MYB,hsa-miR-155-3p,1
MYB,hsa-miR-15a-3p,1
MYB,hsa-miR-200a-3p,1
MYB,hsa-miR-200b-3p,1
MYB,hsa-miR-200c-3p,1
MYB,hsa-miR-429-3p,1
MYB,hsa-miR-486-3p,1
MYC,hsa-let-7-3p,-1
MYC,hsa-let-7a-3p,-1
MYC,hsa-let-7a-1-3p,-1
MYC,hsa-let-7a-2-3p,-1
MYC,hsa-let-7b-3p,-1
MUC1,hsa-miR-141-3p,-1
MTA1,hsa-miR-22-3p,1
MNT,hsa-miR-92a-1-3p,-1
MNT,hsa-miR-20a-3p,-1
MITF,hsa-miR-204-3p,1
MITF,hsa-miR-221-3p,1
MYC,hsa-let-7c-3p,-1
MITF,hsa-miR-222-3p,-1
MITF,hsa-miR-363-3p,1
MNT,hsa-miR-17-3p,-1
MNT,hsa-miR-18a-3p,-1
MNT,hsa-miR-19a-3p,-1
MNT,hsa-miR-19b-1-3p,-1
MYC,hsa-let-7d-3p,-1
MYC,hsa-let-7e-3p,-1
MYC,hsa-miR-17-3p,1
MYC,hsa-miR-184-3p,-1
MYC,hsa-miR-18a-3p,1
MYC,hsa-miR-18b-3p,1
MYC,hsa-miR-195-3p,-1
MYC,hsa-miR-196a-1-3p,-1
MYC,hsa-miR-19a-3p,1
MYC,hsa-miR-19b-3p,1
MYC,hsa-miR-200c-3p,1
MYC,hsa-miR-20a-3p,1
MYC,hsa-miR-20b-3p,-1
MYC,hsa-miR-16-1-3p,-1
MYC,hsa-miR-16-3p,-1
MYC,hsa-let-7f-3p,-1
MYC,hsa-let-7f-1-3p,-1
MYC,hsa-let-7g-3p,-1
MYC,hsa-let-7i-3p,-1
MYC,hsa-miR-100-3p,-1
MYC,hsa-miR-101-3p,-1
MYC,hsa-miR-101-2-3p,-1
MYC,hsa-miR-106a-3p,1
MYC,hsa-miR-106b-3p,-1
MYC,hsa-miR-122-3p,-1
MYC,hsa-miR-125b-1-3p,-1
MYC,hsa-miR-130a-3p,1
MYC,hsa-miR-141-3p,1
MYC,hsa-miR-146a-3p,-1
MYC,hsa-miR-148a-3p,-1
MYC,hsa-miR-15-3p,-1
MYC,hsa-miR-15a-3p,-1
MEN1,hsa-miR-27b-3p,1
LEF1,hsa-miR-124-1-3p,1
LEF1,hsa-miR-124-2-3p,1
LEF1,hsa-miR-124-3-3p,1
LEF1,hsa-miR-150-3p,1
LEF1,hsa-miR-181a-2-3p,1
LEF1,hsa-miR-182-3p,1
LEF1,hsa-miR-183-3p,1
LEF1,hsa-miR-30e-3p,1
LEF1,hsa-miR-371-3p,1
LEF1,hsa-miR-372-3p,1
LEF1,hsa-miR-373-3p,1
LEF1,hsa-miR-96-3p,1
